t,EEA1,EEA1_2uM_Rab5GDP
0.0001344,0.862381615,0.85391106
0.0001408,0.855537141,0.859997647
0.0001472,0.850499972,0.870023009
0.0001536,0.841274765,0.862367148
0.00016,0.85342531,0.849652514
0.0001664,0.862197709,0.848634938
0.0001728,0.834840938,0.839834795
0.0001792,0.848903967,0.852064949
0.0001856,0.839716859,0.850797025
0.000192,0.83753162,0.84689098
0.0001984,0.822939374,0.846351128
0.0002048,0.822262101,0.825459404
0.0002112,0.83447539,0.838373757
0.0002176,0.82245375,0.818081313
0.000224,0.817177446,0.821305223
0.0002304,0.806684199,0.820385267
0.0002368,0.80487881,0.825603694
0.0002432,0.792503992,0.813766168
0.0002496,0.799624622,0.818088846
0.000256,0.816838443,0.821548084
0.0002688,0.795922325,0.808842535
0.0002816,0.784483576,0.808215843
0.0002944,0.777962972,0.795779979
0.0003072,0.770614932,0.78407392
0.00032,0.770267562,0.782903348
0.0003328,0.766875646,0.781971146
0.0003456,0.762196298,0.76966394
0.0003584,0.760587737,0.767800805
0.0003712,0.737083571,0.767540436
0.000384,0.737980364,0.754698195
0.0003968,0.739445283,0.746936855
0.0004096,0.742408258,0.751598377
0.0004224,0.724900231,0.742894609
0.0004352,0.726846685,0.746504851
0.000448,0.73072405,0.728438756
0.0004608,0.704131182,0.728090879
0.0004736,0.707611199,0.741704704
0.0004864,0.706148691,0.711929166
0.0004992,0.700763065,0.724296038
0.000512,0.692412028,0.712504618
0.0005376,0.676876259,0.701074323
0.0005632,0.682891241,0.695374051
0.0005888,0.670405883,0.694033983
0.0006144,0.66709109,0.673069744
0.00064,0.661318786,0.671570578
0.0006656,0.644758196,0.663222101
0.0006912,0.639887909,0.667222454
0.0007168,0.632603989,0.658164861
0.0007424,0.621353,0.648178546
0.000768,0.623193823,0.637689959
0.0007936,0.61639109,0.638147722
0.0008192,0.595658736,0.625096299
0.0008448,0.597308038,0.620053188
0.0008704,0.593078756,0.612434352
0.000896,0.587928462,0.609492082
0.0009216,0.583003092,0.589906666
0.0009472,0.57794318,0.587703565
0.0009728,0.574617358,0.591832602
0.0009984,0.565798427,0.576347769
0.001024,0.560179475,0.578806205
0.0010752,0.548756981,0.569248399
0.0011264,0.542831331,0.563546213
0.0011776,0.528759396,0.54847209
0.0012288,0.518772407,0.550159788
0.00128,0.509503174,0.533455301
0.0013312,0.500057973,0.524308743
0.0013824,0.48836236,0.516220552
0.0014336,0.480961422,0.506632976
0.0014848,0.483696187,0.497053398
0.001536,0.473882803,0.488735287
0.0015872,0.465054168,0.478357218
0.0016384,0.451828769,0.472311544
0.0016896,0.452048072,0.471369697
0.0017408,0.445605893,0.465579646
0.001792,0.43418163,0.46421933
0.0018432,0.43053936,0.447788647
0.0018944,0.425110215,0.444899319
0.0019456,0.412956961,0.442308907
0.0019968,0.414158497,0.433516338
0.002048,0.407909364,0.431632063
0.0021504,0.395623372,0.420188152
0.0022528,0.383609323,0.409605938
0.0023552,0.374706859,0.402122595
0.0024576,0.365846459,0.394199819
0.00256,0.356954561,0.38065976
0.0026624,0.348753528,0.373637903
0.0027648,0.341860088,0.366252728
0.0028672,0.332022462,0.356436439
